cid,mw_pc,smiles,connectivitysmiles,iupac,logp_pc
8653,216.66,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,(4-chlorophenyl)-phenylmethanone,4.1
8698,178.23,CCCCOC(=O)C1=CC=CC=C1,CCCCOC(=O)C1=CC=CC=C1,butyl benzoate,3.8
9582,218.20,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)F)F,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)F)F,bis(4-fluorophenyl)methanone,3.8
9688,184.19,C1=CC=C(C=C1)C2=CC(=O)C=CC2=O,C1=CC=C(C=C1)C2=CC(=O)C=CC2=O,"2-phenylcyclohexa-2,5-diene-1,4-dione",1.7
9769,118.15,C(CCC=O)CCF,C(CCC=O)CCF,6-fluorohexanal,1.1
9889,76.07,CC(=O)CF,CC(=O)CF,1-fluoropropan-2-one,0.3
10236,178.14,C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,"2,2-dihydroxyindene-1,3-dione",0.1
10241,180.20,C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,fluoren-9-one,3.6
10254,148.20,CC1=CC(=C(C(=C1)C)C=O)C,CC1=CC(=C(C(=C1)C)C=O)C,"2,4,6-trimethylbenzaldehyde",2.5
10313,137.14,C1=CC=C(C=C1)C(=O)NO,C1=CC=C(C=C1)C(=O)NO,N-hydroxybenzamide,0.3
10315,148.20,CCCC(=O)C1=CC=CC=C1,CCCC(=O)C1=CC=CC=C1,1-phenylbutan-1-one,2.5
10339,86.05,C(=O)C(=O)C=O,C(=O)C(=O)C=O,2-oxopropanedial,-0.5
10667,158.15,C1=CC=C2C(=C1)C=CC(=O)C2=O,C1=CC=C2C(=C1)C=CC(=O)C2=O,"naphthalene-1,2-dione",1.5
10722,120.15,CC1=CC=CC=C1C=O,CC1=CC=CC=C1C=O,2-methylbenzaldehyde,2.1
