rank,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,priority,category
84,19876212,O.O=CC=O.O=CC=O,IJPXCKOWJOIGJN-UHFFFAOYSA-N,oxaldehyde;hydrate,134.08699999999996,-2.0563000000000002,99.78,0,4,2,0,4,0,4,4,0,0,0.31995618962184585,0.4699561896218458,Dialdehyde (aliphatic)
85,18177585,CC=O.CC=O.O,MIXHCXYDIYROLI-UHFFFAOYSA-N,acetaldehyde;hydrate,106.12099999999998,-0.4143,65.64,0,2,0,0,2,2,2,2,0,0,0.393673309737469,0.468673309737469,Dialdehyde (aliphatic)
86,70620,O=CCCCCC=O,UMHJEEQLYBKSAN-UHFFFAOYSA-N,hexanedial,114.14399999999999,0.9446,34.14,0,2,5,0,2,2,2,2,0,2,0.39353778166401765,0.46853778166401766,Dialdehyde (aliphatic)
87,11768544,CC(=O)C(C)(C)C=O,HOOWKSPRVCRTJK-UHFFFAOYSA-N,"2,2-dimethyl-3-oxobutanal",114.14399999999998,0.8005,34.14,0,2,2,0,2,3,2,2,0,0,0.39279596238115483,0.46779596238115484,Dialdehyde (aliphatic)
88,54127989,CC(=O)C(F)(F)C=O,NSIFGFWJJQVOBE-UHFFFAOYSA-N,"2,2-difluoro-3-oxobutanal",122.07,0.40959999999999996,34.14,0,2,2,0,2,3,2,2,2,0,0.39233248631193,0.46733248631193003,Fluoro-dialdehyde
89,13163928,O=CC(C=O)C1CC1,VBCCGADSHYLTSF-UHFFFAOYSA-N,2-cyclopropylpropanedial,112.12799999999999,0.4104,34.14,0,2,3,1,2,2,2,2,0,0,0.3911644564281965,0.46616445642819654,Dialdehyde (cyclic)
90,83779,COC(=O)CCC=O,DLZVZNAPRCRXEG-UHFFFAOYSA-N,methyl 4-oxobutanoate,116.116,0.13849999999999985,43.370000000000005,0,3,3,0,2,2,2,2,0,1,0.3887867206920583,0.4637867206920583,Dialdehyde (aliphatic)
91,14718277,O=CC1(C=O)CCC1,VOCPJLGSIMEWHJ-UHFFFAOYSA-N,"cyclobutane-1,1-dicarbaldehyde",112.12799999999997,0.5545,34.14,0,2,2,1,2,2,2,2,0,0,0.38597385198985684,0.46097385198985685,Dialdehyde (cyclic)
92,27357,O=C1CC(=O)C1,PZQGSZRQKQZCOJ-UHFFFAOYSA-N,"cyclobutane-1,3-dione",84.074,-0.0816,34.14,0,2,0,1,2,4,2,2,0,0,0.3844924934297086,0.4594924934297086,Dialdehyde (cyclic)
93,123249,CCCC(=O)C=O,GDTHVMAIBQVUMV-UHFFFAOYSA-N,2-oxopentanal,100.11699999999998,0.5545,34.14,0,2,3,0,2,1,2,2,0,0,0.3831964985572301,0.4581964985572301,Dialdehyde (aliphatic)
