rank_nb2,rank_nb1,cid,smi_rdkit,iupac,mw,logp,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,qed,category,elec_proxy,ani_energy,method,conformer_ok,nb2_score
129,169,10339,O=CC(=O)C=O,2-oxopropanedial,86.04599999999999,-1.0467000000000002,3,0,3,3,0,0.2446519432687936,Dialdehyde (aliphatic),21.438307670818713,,gasteiger,True,45.0
130,129,54041244,O=CC(=O)OCl,chloro 2-oxoacetate,108.48,-0.1177000000000001,2,0,2,2,0,0.3475454657893769,Dialdehyde (aliphatic),30.87188825765174,,gasteiger,True,45.0
131,181,51035424,OC(C=[OH+])C=[OH+],(2-hydroxy-3-oxoniumylidenepropylidene)oxidanium,90.078,-1.3033,2,2,2,2,0,0.2553824364449828,Dialdehyde (aliphatic),32.287282944565796,,gasteiger,True,45.0
132,56,23018346,CCC(=O)C(=O)S,2-oxobutanethioic S-acid,118.157,0.4219,2,1,2,2,0,0.4209657556391779,Dialdehyde (aliphatic),22.993550172755857,,gasteiger,True,45.0
133,32,15560738,CSC(=O)C(C)=O,S-methyl 2-oxopropanethioate,118.15699999999998,0.4649999999999999,2,1,2,2,0,0.4690870076183278,Dialdehyde (aliphatic),22.9899518081506,,gasteiger,True,45.0
134,103,18364271,CC(=O)C(=O)S,2-oxopropanethioic S-acid,104.12999999999998,0.0317999999999999,2,1,2,2,0,0.3759812556973594,Dialdehyde (aliphatic),22.839626749638906,,gasteiger,True,45.0
135,51,174728040,CC(F)(F)CC(=O)C=O,"4,4-difluoro-2-oxopentanal",136.09699999999998,0.7997000000000001,2,1,2,2,2,0.424444093331381,Fluoro-dialdehyde,19.304712157281923,,gasteiger,True,43.340511015491664
136,130,196091,O=CC(=O)CF,3-fluoro-2-oxopropanal,90.05300000000001,-0.2761000000000001,2,1,2,2,1,0.3450426035369107,Fluoro-dialdehyde,20.678341805295,,gasteiger,True,42.530018002343766
137,113,21197420,O=CC(F)(F)C=O,"2,2-difluoropropanedial",108.043,0.0195,2,2,2,2,2,0.3688011591977829,Fluoro-dialdehyde,19.613744521419786,,gasteiger,True,42.03329520571574
138,115,151611698,CC(F)C(=O)C=O,3-fluoro-2-oxobutanal,104.08,0.1123999999999999,2,1,2,2,1,0.3678421946698121,Fluoro-dialdehyde,20.833313024139233,,gasteiger,True,41.87448527877746
